Account,trade_date,daily_pnl,daily_volume,avg_trade_size,num_trades,daily_fees,win_count,closing_trade_count,pnl_volatility,net_signed_size,buy_volume,win_rate,fee_pct_of_volume
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-29,5179.772745,101346.88,1221.0467469879518,83,30.404024,83.0,83,81.26284790253338,-5342.35,0.0,100.0,0.029999960531592092
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,1243.853569,203876.44,815.50576,250,31.0304917,81.0,81,19.54304139194419,0.259999999999863,101316.24,100.0,0.015220244036044578
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,-1.0,30351.0,6070.2,5,10.197932,0.0,2,0.1702713129097206,0.0,15176.0,0.0,0.03359998682086257
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,1584.342755,1584.35,1584.35,1,0.53234,1.0,1,,-374.55,0.0,100.0,0.03359989901221321
0x271b280974205ca63b716753467d5a371de622ab,2024-12-04,208.81746,158123.95,39530.9875,4,34.129711,3.0,3,62.10381136034407,-1.1102230246251565e-16,78957.57,100.0,0.021584150282104638
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,29075.959998,10906137.41,9781.289156950672,1115,3203.574067,471.0,519,157.84611852517799,1.2050100000000243,5487944.13,90.7514450867052,0.029374048268111817
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,484.56145,335201.08999999997,19717.711176470588,17,96.53789599999999,17.0,17,35.03961108613002,4.0611,335201.08999999997,100.0,0.028799994653955333
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,5944.486861,3456856.69,6172.958375,560,823.427713,46.0,46,143.82543174379964,-35668.741,831371.1099999999,100.0,0.023820128713522112
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,8275.367738,2429340.2,2792.3450574712647,870,580.548944,418.0,418,34.861570485265275,-106273.9850695,1668792.4800000002,100.0,0.02389739172800911
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,2638.012587,181907.37,1837.4481818181819,99,49.803628,61.0,61,56.15273296668763,139508.76,115655.31999999999,100.0,0.027378565255492402
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,-67170.065866,6517922.83,8497.94371577575,767,1892.80616,0.0,388,459.97609088113353,208.69045000000142,2721306.6900000004,0.0,0.029040021021543762
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,3087.5800150000005,4383553.05,12382.918220338983,354,948.870975,129.0,144,510.7925497016542,21.16676000000015,3175080.53,89.58333333333334,0.021646161553810786
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,0.8497100000000001,3499.79,1166.5966666666666,3,1.049939,3.0,3,0.2977037588498562,-1.9994,0.0,100.0,0.03000005714628592
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,0.0,0.17,0.17,1,0.0,0.0,0,0.0,-9.73e-05,0.0,,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-15,113.34433999999999,10363.96,942.1781818181818,11,2.537788,6.0,9,14.866157025397277,68.70262,1685.6100000000001,66.66666666666666,0.02448666339893246
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,55.462852000000005,31010.28,301.07067961165046,103,10.111989,15.0,24,7.35188186272392,-6250.2567,13847.51,62.5,0.03260850595350961
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,151.582784,26964.989999999998,364.3917567567567,74,7.870728,29.0,37,10.373953920758774,-2150.1172,11989.859999999999,78.37837837837837,0.02918869244898663
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,175.496962,159466.16,711.9025,224,55.49848,96.0,128,8.790010728464962,-5785.7877499999995,78182.68,75.0,0.0348026691054704
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,89.687584,416961.44,1661.2009561752989,251,141.951711,106.0,136,8.785334678768317,-4799.00672,207381.76000000007,77.94117647058823,0.034044325777462775
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,-139.041823,681820.12,2011.2687905604719,339,233.269247,122.0,186,16.950602522062834,16663.68037,338005.73,65.59139784946237,0.03421272563795859
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,745.8496700000001,260704.74,554.6909361702127,470,90.546062,167.0,247,9.18641177993161,3822.774060000025,128055.48999999999,67.61133603238866,0.03473126802374211
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,228.69318399999997,177059.0,425.62259615384613,416,60.217207,132.0,220,7.054758184561956,177524.40628,91016.97999999998,60.0,0.0340096843425073
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,574.44289,39768.46,303.57603053435116,131,13.360142,51.0,65,14.651108867033109,80659.33348999999,19596.08,78.46153846153847,0.03359481860750957
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,242.924282,18035.44,257.64914285714286,70,5.534242,28.0,38,17.879379476421,71940.68154,10255.419999999998,73.68421052631578,0.03068537279933287
